percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
7.0,4343,11016,24459,7934,24193,53703
7.0,4343,11016,24460,7935,24194,53703
7.0,4343,11024,24497,7935,24194,53704
7.0,4344,11026,24526,7935,24194,53705
7.0,4344,11029,24527,7936,24199,53705
7.0,4344,11037,24535,7936,24201,53705
7.1,4344,11038,24546,7937,24202,53706
7.1,4344,11041,24547,7937,24203,53708
7.1,4345,11042,24568,7937,24205,53709
7.1,4345,11044,24578,7938,24206,53710
7.1,4345,11046,24582,7939,24208,53710
7.1,4345,11048,24599,7939,24208,53710
7.1,4345,11050,24603,7940,24209,53711
7.2,4346,11055,24614,7940,24209,53714
7.2,4346,11057,24652,7940,24209,53716
7.2,4346,11058,24658,7941,24210,53717
7.2,4346,11065,24673,7941,24210,53719
7.2,4346,11065,24686,7942,24211,53720
7.2,4347,11067,24719,7942,24213,53723
7.2,4347,11068,24739,7942,24213,53725
7.2,4347,11069,24777,7943,24216,53726
7.2,4347,11071,24791,7944,24217,53730
7.3,4347,11073,24805,7944,24219,53731
7.3,4347,11074,24806,7944,24220,53732
7.3,4347,11076,24843,7945,24222,53733
7.3,4348,11082,24844,7947,24222,53735
7.3,4348,11085,24846,7947,24223,53737
7.3,4348,11087,24848,7947,24224,53741
7.3,4348,11090,24852,7947,24224,53744
7.3,4348,11091,24892,7947,24225,53745
7.4,4348,11095,24894,7948,24225,53746
7.4,4348,11096,24897,7949,24227,53746
7.4,4349,11096,24911,7952,24227,53750
7.4,4349,11096,24916,7952,24227,53751
7.4,4349,11099,24920,7953,24228,53754
7.4,4350,11103,24928,7953,24229,53759
7.4,4350,11105,24936,7953,24230,53760
7.5,4350,11107,24950,7953,24230,53761
7.5,4350,11109,24951,7953,24234,53767
7.5,4350,11110,24960,7953,24235,53767
7.5,4350,11111,24970,7954,24239,53767
7.5,4350,11111,24976,7954,24241,53768
7.5,4350,11111,24982,7954,24241,53771
7.5,4350,11114,24990,7955,24244,53771
7.5,4350,11114,24992,7955,24244,53772
7.5,4351,11119,24998,7955,24245,53772
7.6,4351,11119,25002,7956,24246,53773
7.6,4351,11119,25012,7956,24246,53774
7.6,4351,11121,25016,7956,24247,53774
7.6,4352,11122,25016,7957,24247,53775
7.6,4353,11125,25052,7957,24249,53779
7.6,4353,11128,25054,7957,24251,53782
7.6,4353,11129,25065,7958,24251,53782
7.7,4353,11129,25072,7958,24253,53785
7.7,4353,11135,25080,7958,24256,53787
7.7,4354,11137,25080,7959,24256,53788
7.7,4354,11148,25086,7959,24257,53789
7.7,4354,11149,25094,7959,24257,53789
7.7,4354,11149,25102,7959,24259,53792
7.7,4355,11150,25107,7959,24259,53794
7.7,4355,11151,25119,7960,24260,53796
7.8,4356,11152,25119,7960,24260,53796
7.8,4356,11152,25122,7961,24260,53797
7.8,4356,11153,25129,7961,24261,53797
7.8,4356,11154,25150,7961,24262,53800
